Month,Trimester,FitnessLevel,Condition,ExerciseName,Type,DurationMin,Intensity
2,1,Beginner,None,Swimming,Cardio,25,Moderate
2,1,Beginner,None,Water Aerobics,Cardio,30,Moderate
2,1,Beginner,None,Stationary Cycling,Cardio,20,Moderate
2,1,Beginner,Diabetes,Gentle Walking,Cardio,20,Light
2,1,Beginner,Diabetes,Prenatal Yoga,Flexibility,30,Light
2,1,Beginner,Diabetes,Swimming,Cardio,25,Moderate
2,1,Beginner,Diabetes,Water Aerobics,Cardio,30,Moderate
2,1,Beginner,Diabetes,Stationary Cycling,Cardio,20,Moderate
2,1,Beginner,Hypertension,Gentle Walking,Cardio,20,Light
2,1,Beginner,Hypertension,Prenatal Yoga,Flexibility,30,Light
2,1,Beginner,Hypertension,Swimming,Cardio,25,Moderate
2,1,Beginner,Hypertension,Water Aerobics,Cardio,30,Moderate
2,1,Beginner,Hypertension,Stationary Cycling,Cardio,20,Moderate
2,1,Beginner,Back Pain,Prenatal Yoga,Flexibility,30,Light
2,1,Beginner,Back Pain,Stretching,Flexibility,20,Light
2,1,Beginner,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
2,1,Beginner,Back Pain,Butterfly Pose,Flexibility,15,Light
2,1,Beginner,Back Pain,Deep Breathing,Relaxation,10,Light
2,1,Beginner,Anemia,Gentle Walking,Cardio,20,Light
2,1,Beginner,Anemia,Prenatal Yoga,Flexibility,30,Light
2,1,Beginner,Anemia,Swimming,Cardio,25,Moderate
2,1,Beginner,Anemia,Water Aerobics,Cardio,30,Moderate
2,1,Beginner,Anemia,Stationary Cycling,Cardio,20,Moderate
2,1,Intermediate,None,Gentle Walking,Cardio,20,Light
2,1,Intermediate,None,Prenatal Yoga,Flexibility,30,Light
2,1,Intermediate,None,Swimming,Cardio,25,Moderate
2,1,Intermediate,None,Water Aerobics,Cardio,30,Moderate
2,1,Intermediate,None,Stationary Cycling,Cardio,20,Moderate
2,1,Intermediate,Diabetes,Gentle Walking,Cardio,20,Light
2,1,Intermediate,Diabetes,Prenatal Yoga,Flexibility,30,Light
2,1,Intermediate,Diabetes,Swimming,Cardio,25,Moderate
2,1,Intermediate,Diabetes,Water Aerobics,Cardio,30,Moderate
2,1,Intermediate,Diabetes,Stationary Cycling,Cardio,20,Moderate
2,1,Intermediate,Hypertension,Gentle Walking,Cardio,20,Light
2,1,Intermediate,Hypertension,Prenatal Yoga,Flexibility,30,Light
2,1,Intermediate,Hypertension,Swimming,Cardio,25,Moderate
2,1,Intermediate,Hypertension,Water Aerobics,Cardio,30,Moderate
2,1,Intermediate,Hypertension,Stationary Cycling,Cardio,20,Moderate
2,1,Intermediate,Back Pain,Prenatal Yoga,Flexibility,30,Light
2,1,Intermediate,Back Pain,Stretching,Flexibility,20,Light
2,1,Intermediate,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
2,1,Intermediate,Back Pain,Butterfly Pose,Flexibility,15,Light
2,1,Intermediate,Back Pain,Deep Breathing,Relaxation,10,Light
2,1,Intermediate,Anemia,Gentle Walking,Cardio,20,Light
2,1,Intermediate,Anemia,Prenatal Yoga,Flexibility,30,Light
2,1,Intermediate,Anemia,Swimming,Cardio,25,Moderate
2,1,Intermediate,Anemia,Water Aerobics,Cardio,30,Moderate
2,1,Intermediate,Anemia,Stationary Cycling,Cardio,20,Moderate
2,1,Active,None,Gentle Walking,Cardio,20,Light
2,1,Active,None,Prenatal Yoga,Flexibility,30,Light
2,1,Active,None,Swimming,Cardio,25,Moderate
2,1,Active,None,Water Aerobics,Cardio,30,Moderate
2,1,Active,None,Stationary Cycling,Cardio,20,Moderate
2,1,Active,Diabetes,Gentle Walking,Cardio,20,Light
2,1,Active,Diabetes,Prenatal Yoga,Flexibility,30,Light
2,1,Active,Diabetes,Swimming,Cardio,25,Moderate
2,1,Active,Diabetes,Water Aerobics,Cardio,30,Moderate
2,1,Active,Diabetes,Stationary Cycling,Cardio,20,Moderate
2,1,Active,Hypertension,Gentle Walking,Cardio,20,Light
2,1,Active,Hypertension,Prenatal Yoga,Flexibility,30,Light
2,1,Active,Hypertension,Swimming,Cardio,25,Moderate
2,1,Active,Hypertension,Water Aerobics,Cardio,30,Moderate
2,1,Active,Hypertension,Stationary Cycling,Cardio,20,Moderate
2,1,Active,Back Pain,Prenatal Yoga,Flexibility,30,Light
2,1,Active,Back Pain,Stretching,Flexibility,20,Light
2,1,Active,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
2,1,Active,Back Pain,Butterfly Pose,Flexibility,15,Light
2,1,Active,Back Pain,Deep Breathing,Relaxation,10,Light
2,1,Active,Anemia,Gentle Walking,Cardio,20,Light
2,1,Active,Anemia,Prenatal Yoga,Flexibility,30,Light
2,1,Active,Anemia,Swimming,Cardio,25,Moderate
2,1,Active,Anemia,Water Aerobics,Cardio,30,Moderate
2,1,Active,Anemia,Stationary Cycling,Cardio,20,Moderate
3,1,Beginner,None,Gentle Walking,Cardio,20,Light
3,1,Beginner,None,Prenatal Yoga,Flexibility,30,Light
3,1,Beginner,None,Swimming,Cardio,25,Moderate
3,1,Beginner,None,Water Aerobics,Cardio,30,Moderate
3,1,Beginner,None,Stationary Cycling,Cardio,20,Moderate
3,1,Beginner,Diabetes,Gentle Walking,Cardio,20,Light
3,1,Beginner,Diabetes,Prenatal Yoga,Flexibility,30,Light
3,1,Beginner,Diabetes,Swimming,Cardio,25,Moderate
3,1,Beginner,Diabetes,Water Aerobics,Cardio,30,Moderate
3,1,Beginner,Diabetes,Stationary Cycling,Cardio,20,Moderate
3,1,Beginner,Hypertension,Gentle Walking,Cardio,20,Light
3,1,Beginner,Hypertension,Prenatal Yoga,Flexibility,30,Light
3,1,Beginner,Hypertension,Swimming,Cardio,25,Moderate
3,1,Beginner,Hypertension,Water Aerobics,Cardio,30,Moderate
3,1,Beginner,Hypertension,Stationary Cycling,Cardio,20,Moderate
3,1,Beginner,Back Pain,Prenatal Yoga,Flexibility,30,Light
3,1,Beginner,Back Pain,Stretching,Flexibility,20,Light
3,1,Beginner,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
3,1,Beginner,Back Pain,Butterfly Pose,Flexibility,15,Light
3,1,Beginner,Back Pain,Deep Breathing,Relaxation,10,Light
3,1,Beginner,Anemia,Gentle Walking,Cardio,20,Light
3,1,Beginner,Anemia,Prenatal Yoga,Flexibility,30,Light
3,1,Beginner,Anemia,Swimming,Cardio,25,Moderate
3,1,Beginner,Anemia,Water Aerobics,Cardio,30,Moderate
3,1,Beginner,Anemia,Stationary Cycling,Cardio,20,Moderate
3,1,Intermediate,None,Gentle Walking,Cardio,20,Light
3,1,Intermediate,None,Prenatal Yoga,Flexibility,30,Light
3,1,Intermediate,None,Swimming,Cardio,25,Moderate
3,1,Intermediate,None,Water Aerobics,Cardio,30,Moderate
3,1,Intermediate,None,Stationary Cycling,Cardio,20,Moderate
3,1,Intermediate,Diabetes,Gentle Walking,Cardio,20,Light
3,1,Intermediate,Diabetes,Prenatal Yoga,Flexibility,30,Light
3,1,Intermediate,Diabetes,Swimming,Cardio,25,Moderate
3,1,Intermediate,Diabetes,Water Aerobics,Cardio,30,Moderate
3,1,Intermediate,Diabetes,Stationary Cycling,Cardio,20,Moderate
3,1,Intermediate,Hypertension,Gentle Walking,Cardio,20,Light
3,1,Intermediate,Hypertension,Prenatal Yoga,Flexibility,30,Light
3,1,Intermediate,Hypertension,Swimming,Cardio,25,Moderate
3,1,Intermediate,Hypertension,Water Aerobics,Cardio,30,Moderate
3,1,Intermediate,Hypertension,Stationary Cycling,Cardio,20,Moderate
3,1,Intermediate,Back Pain,Prenatal Yoga,Flexibility,30,Light
3,1,Intermediate,Back Pain,Stretching,Flexibility,20,Light
3,1,Intermediate,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
3,1,Intermediate,Back Pain,Butterfly Pose,Flexibility,15,Light
3,1,Intermediate,Back Pain,Deep Breathing,Relaxation,10,Light
3,1,Intermediate,Anemia,Gentle Walking,Cardio,20,Light
3,1,Intermediate,Anemia,Prenatal Yoga,Flexibility,30,Light
3,1,Intermediate,Anemia,Swimming,Cardio,25,Moderate
3,1,Intermediate,Anemia,Water Aerobics,Cardio,30,Moderate
3,1,Intermediate,Anemia,Stationary Cycling,Cardio,20,Moderate
3,1,Active,None,Gentle Walking,Cardio,20,Light
3,1,Active,None,Prenatal Yoga,Flexibility,30,Light
3,1,Active,None,Swimming,Cardio,25,Moderate
3,1,Active,None,Water Aerobics,Cardio,30,Moderate
3,1,Active,None,Stationary Cycling,Cardio,20,Moderate
3,1,Active,Diabetes,Gentle Walking,Cardio,20,Light
3,1,Active,Diabetes,Prenatal Yoga,Flexibility,30,Light
3,1,Active,Diabetes,Swimming,Cardio,25,Moderate
3,1,Active,Diabetes,Water Aerobics,Cardio,30,Moderate
3,1,Active,Diabetes,Stationary Cycling,Cardio,20,Moderate
3,1,Active,Hypertension,Gentle Walking,Cardio,20,Light
3,1,Active,Hypertension,Prenatal Yoga,Flexibility,30,Light
3,1,Active,Hypertension,Swimming,Cardio,25,Moderate
3,1,Active,Hypertension,Water Aerobics,Cardio,30,Moderate
3,1,Active,Hypertension,Stationary Cycling,Cardio,20,Moderate
3,1,Active,Back Pain,Prenatal Yoga,Flexibility,30,Light
3,1,Active,Back Pain,Stretching,Flexibility,20,Light
3,1,Active,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
3,1,Active,Back Pain,Butterfly Pose,Flexibility,15,Light
3,1,Active,Back Pain,Deep Breathing,Relaxation,10,Light
3,1,Active,Anemia,Gentle Walking,Cardio,20,Light
3,1,Active,Anemia,Prenatal Yoga,Flexibility,30,Light
3,1,Active,Anemia,Swimming,Cardio,25,Moderate
3,1,Active,Anemia,Water Aerobics,Cardio,30,Moderate
3,1,Active,Anemia,Stationary Cycling,Cardio,20,Moderate
4,2,Beginner,None,Gentle Walking,Cardio,20,Light
4,2,Beginner,None,Prenatal Yoga,Flexibility,30,Light
4,2,Beginner,None,Swimming,Cardio,25,Moderate
4,2,Beginner,None,Water Aerobics,Cardio,30,Moderate
4,2,Beginner,None,Stationary Cycling,Cardio,20,Moderate
4,2,Beginner,Diabetes,Gentle Walking,Cardio,20,Light
4,2,Beginner,Diabetes,Prenatal Yoga,Flexibility,30,Light
4,2,Beginner,Diabetes,Swimming,Cardio,25,Moderate
4,2,Beginner,Diabetes,Water Aerobics,Cardio,30,Moderate
4,2,Beginner,Diabetes,Stationary Cycling,Cardio,20,Moderate
4,2,Beginner,Hypertension,Gentle Walking,Cardio,20,Light
4,2,Beginner,Hypertension,Prenatal Yoga,Flexibility,30,Light
4,2,Beginner,Hypertension,Swimming,Cardio,25,Moderate
4,2,Beginner,Hypertension,Water Aerobics,Cardio,30,Moderate
4,2,Beginner,Hypertension,Stationary Cycling,Cardio,20,Moderate
4,2,Beginner,Back Pain,Prenatal Yoga,Flexibility,30,Light
4,2,Beginner,Back Pain,Stretching,Flexibility,20,Light
4,2,Beginner,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
4,2,Beginner,Back Pain,Butterfly Pose,Flexibility,15,Light
4,2,Beginner,Back Pain,Deep Breathing,Relaxation,10,Light
4,2,Beginner,Anemia,Gentle Walking,Cardio,20,Light
4,2,Beginner,Anemia,Prenatal Yoga,Flexibility,30,Light
4,2,Beginner,Anemia,Swimming,Cardio,25,Moderate
4,2,Beginner,Anemia,Water Aerobics,Cardio,30,Moderate
4,2,Beginner,Anemia,Stationary Cycling,Cardio,20,Moderate
4,2,Intermediate,None,Gentle Walking,Cardio,20,Light
4,2,Intermediate,None,Prenatal Yoga,Flexibility,30,Light
4,2,Intermediate,None,Swimming,Cardio,25,Moderate
4,2,Intermediate,None,Water Aerobics,Cardio,30,Moderate
4,2,Intermediate,None,Stationary Cycling,Cardio,20,Moderate
4,2,Intermediate,Diabetes,Gentle Walking,Cardio,20,Light
4,2,Intermediate,Diabetes,Prenatal Yoga,Flexibility,30,Light
4,2,Intermediate,Diabetes,Swimming,Cardio,25,Moderate
4,2,Intermediate,Diabetes,Water Aerobics,Cardio,30,Moderate
4,2,Intermediate,Diabetes,Stationary Cycling,Cardio,20,Moderate
4,2,Intermediate,Hypertension,Gentle Walking,Cardio,20,Light
4,2,Intermediate,Hypertension,Prenatal Yoga,Flexibility,30,Light
4,2,Intermediate,Hypertension,Swimming,Cardio,25,Moderate
4,2,Intermediate,Hypertension,Water Aerobics,Cardio,30,Moderate
4,2,Intermediate,Hypertension,Stationary Cycling,Cardio,20,Moderate
4,2,Intermediate,Back Pain,Prenatal Yoga,Flexibility,30,Light
4,2,Intermediate,Back Pain,Stretching,Flexibility,20,Light
4,2,Intermediate,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
4,2,Intermediate,Back Pain,Butterfly Pose,Flexibility,15,Light
4,2,Intermediate,Back Pain,Deep Breathing,Relaxation,10,Light
4,2,Intermediate,Anemia,Gentle Walking,Cardio,20,Light
4,2,Intermediate,Anemia,Prenatal Yoga,Flexibility,30,Light
4,2,Intermediate,Anemia,Swimming,Cardio,25,Moderate
4,2,Intermediate,Anemia,Water Aerobics,Cardio,30,Moderate
4,2,Intermediate,Anemia,Stationary Cycling,Cardio,20,Moderate
4,2,Active,None,Gentle Walking,Cardio,20,Light
4,2,Active,None,Prenatal Yoga,Flexibility,30,Light
4,2,Active,None,Swimming,Cardio,25,Moderate
4,2,Active,None,Water Aerobics,Cardio,30,Moderate
4,2,Active,None,Stationary Cycling,Cardio,20,Moderate
4,2,Active,Diabetes,Gentle Walking,Cardio,20,Light
4,2,Active,Diabetes,Prenatal Yoga,Flexibility,30,Light
4,2,Active,Diabetes,Swimming,Cardio,25,Moderate
4,2,Active,Diabetes,Water Aerobics,Cardio,30,Moderate
4,2,Active,Diabetes,Stationary Cycling,Cardio,20,Moderate
4,2,Active,Hypertension,Gentle Walking,Cardio,20,Light
4,2,Active,Hypertension,Prenatal Yoga,Flexibility,30,Light
4,2,Active,Hypertension,Swimming,Cardio,25,Moderate
4,2,Active,Hypertension,Water Aerobics,Cardio,30,Moderate
4,2,Active,Hypertension,Stationary Cycling,Cardio,20,Moderate
4,2,Active,Back Pain,Prenatal Yoga,Flexibility,30,Light
4,2,Active,Back Pain,Stretching,Flexibility,20,Light
4,2,Active,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
4,2,Active,Back Pain,Butterfly Pose,Flexibility,15,Light
4,2,Active,Back Pain,Deep Breathing,Relaxation,10,Light
4,2,Active,Anemia,Gentle Walking,Cardio,20,Light
4,2,Active,Anemia,Prenatal Yoga,Flexibility,30,Light
4,2,Active,Anemia,Swimming,Cardio,25,Moderate
4,2,Active,Anemia,Water Aerobics,Cardio,30,Moderate
4,2,Active,Anemia,Stationary Cycling,Cardio,20,Moderate
5,2,Beginner,None,Gentle Walking,Cardio,20,Light
5,2,Beginner,None,Prenatal Yoga,Flexibility,30,Light
5,2,Beginner,None,Swimming,Cardio,25,Moderate
5,2,Beginner,None,Water Aerobics,Cardio,30,Moderate
5,2,Beginner,None,Stationary Cycling,Cardio,20,Moderate
5,2,Beginner,Diabetes,Gentle Walking,Cardio,20,Light
5,2,Beginner,Diabetes,Prenatal Yoga,Flexibility,30,Light
5,2,Beginner,Diabetes,Swimming,Cardio,25,Moderate
5,2,Beginner,Diabetes,Water Aerobics,Cardio,30,Moderate
5,2,Beginner,Diabetes,Stationary Cycling,Cardio,20,Moderate
5,2,Beginner,Hypertension,Gentle Walking,Cardio,20,Light
5,2,Beginner,Hypertension,Prenatal Yoga,Flexibility,30,Light
5,2,Beginner,Hypertension,Swimming,Cardio,25,Moderate
5,2,Beginner,Hypertension,Water Aerobics,Cardio,30,Moderate
5,2,Beginner,Hypertension,Stationary Cycling,Cardio,20,Moderate
5,2,Beginner,Back Pain,Prenatal Yoga,Flexibility,30,Light
5,2,Beginner,Back Pain,Stretching,Flexibility,20,Light
5,2,Beginner,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
5,2,Beginner,Back Pain,Butterfly Pose,Flexibility,15,Light
5,2,Beginner,Back Pain,Deep Breathing,Relaxation,10,Light
5,2,Beginner,Anemia,Gentle Walking,Cardio,20,Light
5,2,Beginner,Anemia,Prenatal Yoga,Flexibility,30,Light
5,2,Beginner,Anemia,Swimming,Cardio,25,Moderate
5,2,Beginner,Anemia,Water Aerobics,Cardio,30,Moderate
5,2,Beginner,Anemia,Stationary Cycling,Cardio,20,Moderate
5,2,Intermediate,None,Gentle Walking,Cardio,20,Light
5,2,Intermediate,None,Prenatal Yoga,Flexibility,30,Light
5,2,Intermediate,None,Swimming,Cardio,25,Moderate
5,2,Intermediate,None,Water Aerobics,Cardio,30,Moderate
5,2,Intermediate,None,Stationary Cycling,Cardio,20,Moderate
5,2,Intermediate,Diabetes,Gentle Walking,Cardio,20,Light
5,2,Intermediate,Diabetes,Prenatal Yoga,Flexibility,30,Light
5,2,Intermediate,Diabetes,Swimming,Cardio,25,Moderate
5,2,Intermediate,Diabetes,Water Aerobics,Cardio,30,Moderate
5,2,Intermediate,Diabetes,Stationary Cycling,Cardio,20,Moderate
5,2,Intermediate,Hypertension,Gentle Walking,Cardio,20,Light
5,2,Intermediate,Hypertension,Prenatal Yoga,Flexibility,30,Light
5,2,Intermediate,Hypertension,Swimming,Cardio,25,Moderate
5,2,Intermediate,Hypertension,Water Aerobics,Cardio,30,Moderate
5,2,Intermediate,Hypertension,Stationary Cycling,Cardio,20,Moderate
5,2,Intermediate,Back Pain,Prenatal Yoga,Flexibility,30,Light
5,2,Intermediate,Back Pain,Stretching,Flexibility,20,Light
5,2,Intermediate,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
5,2,Intermediate,Back Pain,Butterfly Pose,Flexibility,15,Light
5,2,Intermediate,Back Pain,Deep Breathing,Relaxation,10,Light
5,2,Intermediate,Anemia,Gentle Walking,Cardio,20,Light
5,2,Intermediate,Anemia,Prenatal Yoga,Flexibility,30,Light
5,2,Intermediate,Anemia,Swimming,Cardio,25,Moderate
5,2,Intermediate,Anemia,Water Aerobics,Cardio,30,Moderate
5,2,Intermediate,Anemia,Stationary Cycling,Cardio,20,Moderate
5,2,Active,None,Gentle Walking,Cardio,20,Light
5,2,Active,None,Prenatal Yoga,Flexibility,30,Light
5,2,Active,None,Swimming,Cardio,25,Moderate
5,2,Active,None,Water Aerobics,Cardio,30,Moderate
5,2,Active,None,Stationary Cycling,Cardio,20,Moderate
5,2,Active,Diabetes,Gentle Walking,Cardio,20,Light
5,2,Active,Diabetes,Prenatal Yoga,Flexibility,30,Light
5,2,Active,Diabetes,Swimming,Cardio,25,Moderate
5,2,Active,Diabetes,Water Aerobics,Cardio,30,Moderate
5,2,Active,Diabetes,Stationary Cycling,Cardio,20,Moderate
5,2,Active,Hypertension,Gentle Walking,Cardio,20,Light
5,2,Active,Hypertension,Prenatal Yoga,Flexibility,30,Light
5,2,Active,Hypertension,Swimming,Cardio,25,Moderate
5,2,Active,Hypertension,Water Aerobics,Cardio,30,Moderate
5,2,Active,Hypertension,Stationary Cycling,Cardio,20,Moderate
5,2,Active,Back Pain,Prenatal Yoga,Flexibility,30,Light
5,2,Active,Back Pain,Stretching,Flexibility,20,Light
5,2,Active,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
5,2,Active,Back Pain,Butterfly Pose,Flexibility,15,Light
5,2,Active,Back Pain,Deep Breathing,Relaxation,10,Light
5,2,Active,Anemia,Gentle Walking,Cardio,20,Light
5,2,Active,Anemia,Prenatal Yoga,Flexibility,30,Light
5,2,Active,Anemia,Swimming,Cardio,25,Moderate
5,2,Active,Anemia,Water Aerobics,Cardio,30,Moderate
5,2,Active,Anemia,Stationary Cycling,Cardio,20,Moderate
6,2,Beginner,None,Gentle Walking,Cardio,20,Light
6,2,Beginner,None,Prenatal Yoga,Flexibility,30,Light
6,2,Beginner,None,Swimming,Cardio,25,Moderate
6,2,Beginner,None,Water Aerobics,Cardio,30,Moderate
6,2,Beginner,None,Stationary Cycling,Cardio,20,Moderate
6,2,Beginner,Diabetes,Gentle Walking,Cardio,20,Light
6,2,Beginner,Diabetes,Prenatal Yoga,Flexibility,30,Light
6,2,Beginner,Diabetes,Swimming,Cardio,25,Moderate
6,2,Beginner,Diabetes,Water Aerobics,Cardio,30,Moderate
6,2,Beginner,Diabetes,Stationary Cycling,Cardio,20,Moderate
6,2,Beginner,Hypertension,Gentle Walking,Cardio,20,Light
6,2,Beginner,Hypertension,Prenatal Yoga,Flexibility,30,Light
6,2,Beginner,Hypertension,Swimming,Cardio,25,Moderate
6,2,Beginner,Hypertension,Water Aerobics,Cardio,30,Moderate
6,2,Beginner,Hypertension,Stationary Cycling,Cardio,20,Moderate
6,2,Beginner,Back Pain,Prenatal Yoga,Flexibility,30,Light
6,2,Beginner,Back Pain,Stretching,Flexibility,20,Light
6,2,Beginner,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
6,2,Beginner,Back Pain,Butterfly Pose,Flexibility,15,Light
6,2,Beginner,Back Pain,Deep Breathing,Relaxation,10,Light
6,2,Beginner,Anemia,Gentle Walking,Cardio,20,Light
6,2,Beginner,Anemia,Prenatal Yoga,Flexibility,30,Light
6,2,Beginner,Anemia,Swimming,Cardio,25,Moderate
6,2,Beginner,Anemia,Water Aerobics,Cardio,30,Moderate
6,2,Beginner,Anemia,Stationary Cycling,Cardio,20,Moderate
6,2,Intermediate,None,Gentle Walking,Cardio,20,Light
6,2,Intermediate,None,Prenatal Yoga,Flexibility,30,Light
6,2,Intermediate,None,Swimming,Cardio,25,Moderate
6,2,Intermediate,None,Water Aerobics,Cardio,30,Moderate
6,2,Intermediate,None,Stationary Cycling,Cardio,20,Moderate
6,2,Intermediate,Diabetes,Gentle Walking,Cardio,20,Light
6,2,Intermediate,Diabetes,Prenatal Yoga,Flexibility,30,Light
6,2,Intermediate,Diabetes,Swimming,Cardio,25,Moderate
6,2,Intermediate,Diabetes,Water Aerobics,Cardio,30,Moderate
6,2,Intermediate,Diabetes,Stationary Cycling,Cardio,20,Moderate
6,2,Intermediate,Hypertension,Gentle Walking,Cardio,20,Light
6,2,Intermediate,Hypertension,Prenatal Yoga,Flexibility,30,Light
6,2,Intermediate,Hypertension,Swimming,Cardio,25,Moderate
6,2,Intermediate,Hypertension,Water Aerobics,Cardio,30,Moderate
6,2,Intermediate,Hypertension,Stationary Cycling,Cardio,20,Moderate
6,2,Intermediate,Back Pain,Prenatal Yoga,Flexibility,30,Light
6,2,Intermediate,Back Pain,Stretching,Flexibility,20,Light
6,2,Intermediate,Back Pain,Cat-Cow Stretch,Flexibility,15,Light
